Parte;Fecha;Concejo;IGP;Lat;Lon;Superficie
0502-05042026;05/04/2026 13:16;Lena;;43.05213;-5.86644;
1014-04042026;04/04/2026 19:46;Aller;Bajo (0);43.15177;-5.72693;
0846-06042026;06/04/2026 21:16;Ponga;;43.18103;-5.17371;
1090-04042026;04/04/2026 20:46;Proaza;;43.25597;-5.99375;
0160-06042026;06/04/2026 8:31;Amieva;;43.25703;-5.08901;
0994-06042026;06/04/2026 23:46;Amieva;Bajo (0);43.25703;-5.08901;
0828-04042026;04/04/2026 17:01;Piloña;;43.31466;-5.32712;5
1054-05042026;05/04/2026 21:46;Piloña;;43.31466;-5.32712;5
0678-08042026;08/04/2026 19:46;Piloña;;43.33807;-5.28698;50
0571-04042026;04/04/2026 13:46;Siero;;43.35689;-5.70008;
0744-02042026;02/04/2026 17:31;Oviedo;;43.35693;-5.87486;
0648-03042026;03/04/2026 14:46;Oviedo;;43.35693;-5.87486;
1145-04042026;04/04/2026 21:16;Piloña;;43.35966;-5.28617;
1234-04042026;04/04/2026 22:46;Siero;;43.44601;-5.73907;
0757-03042026;03/04/2026 16:46;Degaña;Moderado (1);42.946692;-6.4896;1
0964-05042026;05/04/2026 20:16;Lena;;43.031356;-5.78155;
0739-27032026;31/03/2026 16:46;Cangas del Narcea;;43.035276;-6.57251;
0895-06042026;07/04/2026 5:46;Morcín;;43.063604;-5.90945;
0534-04042026;04/04/2026 13:01;Lena;;43.066665;-5.82184;
0963-06042026;06/04/2026 23:01;Lena;Moderado (1);43.081426;-5.85938;28
0157-03042026;03/04/2026 8:01;Cangas del Narcea;Moderado (1);43.082684;-6.47802;5
1217-04042026;04/04/2026 22:31;Aller;;43.106219;-5.57262;
0935-06042026;06/04/2026 22:46;Cangas del Narcea;Bajo (0);43.137573;-6.58644;
0788-02042026;02/04/2026 18:16;Lena;;43.160115;-5.82892;
0482-06042026;06/04/2026 15:01;Ponga;Bajo (0);43.200632;-5.21177;
